a	手	扌手
痘	bdh	疒豆一
痢	bdh	疒刂禾
疒	bdh	疒丶一
実	bdh	宀大一
鬁	bdh	髟刂禾
瘌	bdi	疒刂木
賴	bdi	貝刀木
鬎	bdi	髟刂木
痸	bdj	疒刂巾
勺	bdk	勹丶〇
寄	bdo	宀大口
养	bdp	丷大丿
贸	bdp	贝刀丿
貿	bdp	貝刀丿
丷	bdp	丷丶丿
皋	bds	白大十
冫	bdt	冫丶√
匎	bdt	勹大田
痷	bdt	疒大田
决	bdv	冫大乙
疦	bdv	疒大乙
疰	bdw	疒丶王
宔	bdw	宀丶王
净	bdx	冫刀彐
寮	bdx	宀大小
療	bdx	疒大小
鬇	bdx	髟刀彐
尦	beb	八儿勹
赇	bed	贝水丶
賕	bed	貝水丶
赞	bee	贝儿儿
贊	bee	貝儿儿
宨	bee	宀儿水
勻	beh	勹二一
髵	bel	髟而丨
冰	ben	冫水乀
宪	ben	宀儿牛
冼	ben	冫儿牛
况	beo	冫儿口
贶	beo	贝儿口
貺	beo	貝儿口
宇	bev	宀二乙
尣	bev	八儿乙
皃	bev	白儿乙
疞	bev	疒二乙
尩	bew	八儿王
痧	bex	疒氵小
髿	bex	髟氵小
疯	bfd	疒风丶
瘋	bfd	疒风丶
疟	bfh	疒匚一
痱	bfh	疒非一
髶	bfh	髟耳一
匋	bfl	勹缶丨
害	bfo	宀丰口
痾	bfo	疒阝口
髣	bfp	髟方丿
賾	bfq	貝匚青
癃	bfs	疒阝生
瘯	bfs	疒方矢
瘰	bft	疒糸田
癳	bft	疒糸田
瘀	bfv	疒方人
癊	bfv	疒阝人
寚	bfw	宀缶王
瘾	bfx	疒阝心
癮	bfx	疒阝心
皒	bga	白戈扌
贓	bgc	貝戈臣
瘬	bgc	疒弓長
魄	bgd	白鬼丶
贱	bgd	贝戈丶
贡	bgd	贝工丶
貢	bgd	貝工丶
瘣	bgd	疒鬼丶
賤	bgg	貝戈戈
寙	bgg	宀瓜瓜
并	bgh	丷廾一
容	bgh	宀谷一
贼	bgh	贝戈一
疳	bgh	疒甘一
賊	bgh	貝戈一
冮	bgh	冫工一
疘	bgh	疒工一
賎	bgh	貝戈一
皜	bgh	白高一
鼾	bgl	鼻干丨
癷	bgl	癶干丨
痕	bgn	疒艮乀
减	bgo	冫戈口
賳	bgo	貝戈口
弟	bgp	丷弓丿
费	bgp	贝弓丿
費	bgp	貝弓丿
發	bgp	癶弓殳
宬	bgp	宀戈丿
疿	bgp	疒弓丿
髴	bgp	髟弓丿
宖	bgs	宀弓厶
赃	bgt	贝广土
賍	bgt	貝广土
賘	bgt	貝广土
痉	bgv	疒工乙
宆	bgv	宀弓乙
賡	bgx	貝广彐
瘥	bgy	疒工羊
寇	bhb	宀一卜
匉	bhb	勹一丷
疜	bhb	疒一卜
髬	bhb	髟一卜
癪	bhb	疒禾貝
关	bhd	丷一大
癀	bhd	疒黄丶
兰	bhe	丷一二
羌	bhe	丷一儿
瘧	bhf	疒虍匚
宑	bhg	宀一廾
痰	bhh	疒火火
鬏	bhh	髟禾火
赕	bhh	贝火火
賧	bhh	貝火火
贙	bhh	貝虍虍
痜	bhj	疒禾几
百	bhk	白一〇
髟	bhl	髟一丨
貰	bhl	貝一丨
髰	bhl	髟一丨
疢	bhn	疒火乀
疠	bhp	疒一丿
凞	bhs	冫灬巳
具	bht	八一冂
病	bht	疒一冂
凜	bht	冫禾亠
齇	bht	鼻虍冂
癛	bht	疒禾亠
比	bhv	比一乙
宁	bhv	宀一乙
兮	bhv	八一乙
皂	bhv	白一乙
冱	bhv	冫一乙
疔	bhv	疒一乙
贳	bhv	贝一乙
疶	bhv	疒一乙
寕	bhv	宀一乙
髩	bhv	髟一乙
完	bhw	宀一兀
発	bhw	癶一兀
貦	bhw	貝一兀
髨	bhw	髟一兀
冻	bhx	冫一小
痖	bhy	疒一业
並	bhy	丷一业
瘂	bhy	疒一业
痵	bhz	疒禾子
癄	bhz	疒灬隹
寨	bib	宀木八
凇	bib	冫木八
赉	bib	贝木丷
鬆	bib	髟木八
皪	bib	白木白
皌	bih	白木一
痲	bii	疒木木
痳	bii	疒木木
皙	bij	白木斤
賝	bim	貝木冖
宋	bin	宀木乀
髤	bin	髟木乀
赖	bio	贝木口
凁	bio	冫木口
齄	bir	鼻木日
凍	bir	冫木日
賚	biv	貝木人
凓	bix	冫木西
鬈	bjb	髟卩丷
凘	bjb	冫斤八
瘹	bjb	疒金勹
寫	bjh	宀臼灬
凎	bjh	冫金一
質	bjj	貝斤斤
疖	bjl	疒卩丨
兯	bjl	丷卩丨
寴	bjl	宀見立
宽	bju	宀见艹
寬	bju	宀見艹
寋	bju	宀卩艹
寛	bju	宀見艹
瘐	bjv	疒臼人
宂	bjv	宀几乙
皍	bjv	白卩乙
髠	bjv	髟几乙
癤	bkj	疒竹卩
屰	bkp	丷凵丿
齉	bks	鼻衣十
匈	bkx	勹凵乂
鬯	bkx	匕凵乂
